Title	Given planned earliest start	Given planned earliest end	Notes	Assigned Resources	Additional Title
"[🎤/Day 2] PTD On Stage in LA Concert + Online Livestream"	"28.11.2021 19:30 PST"	"07.06.2020"	"BTS will be holding the Permission to Dance On Stage concert inLos Angeles, California! The concert will be held in a span of four days.&nbsp\;<br><br><strong>📍SOFI Stadium (Inglewood, CA)<br></strong><strong>🗓Day 2: </strong>November 28, 2021<br><strong>⏰7:30pm PT<br></strong>(5:30pm HT / 8:30pm MT / 9:30pm CT / 10:30pm ET / 11.29 @ 12:30pm KST)<br><br>🔗<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles</a><br><br><b>This day will be live-streamed online:</b><br><b>🔗Livestream Info:</b> <a href="https://usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles/#la-livestream" id="ow1069" __is_owner="true">https://usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles/#la-livestream</a>"	""	""
"[💸/Online Livestream] Ticket Sales: PTD On Stage in LA Day 4"	"11.11.2021 19:00 PST"	"06.06.2020"	"<p>The 4th day (December 2, 2021) of the Permission to Dance On Stage in LA concert will be live-streamed online!</p><br><b>Livestream Tickets go on sale:<br>🎫 Friday November 12, 2021 @ 12pm KST</b> until December 3, 2021 @ 1:29pm KST<br><strong>🇺🇸 Starts:</strong> (11.11 @ 5pm HT/ 7pm PT / 8pm MT / 9pm CT / 10pm ET)<br><strong>🇺🇸 Ends:</strong> (12.2@ 6:29pm HT / 8:29pm PT / 9:29pm MT / 10:29pm CT / 11:29pm ET)<br><br>🔗<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles/#la-livestream" id="ow697" __is_owner="true">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles/#la-livestream</a>"	""	""
"[🎤/Day 4] PTD On Stage in LA Concert + Online Livestream"	"02.12.2021 19:30 PST"	"01.06.2020"	"BTS will be holding the Permission to Dance On Stage concert inLos Angeles, California! The concert will be held in a span of four days.&nbsp\;<strong><br></strong><br><strong>📍SOFI Stadium (Inglewood, CA)<br></strong><strong>🗓Day 4: </strong>December 2, 2021<br><strong>⏰7:30pm PT<br></strong>(5:30pm HT / 8:30pm MT / 9:30pm CT / 10:30pm ET / 12.3 @ 12:30pm KST)<br><br>🔗<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles</a>"	""	""
"[🎤/Day 3] PTD On Stage in LA Concert"	"01.12.2021 19:30 PST"	"31.05.2020"	"BTS will be holding the Permission to Dance On Stage concert inLos Angeles, California! The concert will be held in a span of four days.&nbsp\;<strong><br></strong><br><strong>📍SOFI Stadium (Inglewood, CA)<br></strong><strong>🗓Day 3:</strong> December 1, 2021<br><strong>⏰7:30pm PT<br></strong>(5:30pm HT / 8:30pm MT / 9:30pm CT / 10:30pm ET / 12.2 @ 12:30pm KST)<br><br>🔗<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles</a>"	""	""
"[🎤/Day 1] PTD On Stage in LA Concert"	"27.11.2021 19:30 PST"	"28.05.2020"	"BTS will be holding the Permission to Dance On Stage concert inLos Angeles, California! The concert will be held in a span of four days.&nbsp\;<strong><br></strong><br><strong><br></strong><br><strong>📍SOFI Stadium (Inglewood, CA)<br>🗓Day 1: </strong>November 27, 2021<br><strong>⏰7:30pm PT<br></strong>(5:30pm HT / 8:30pm MT / 9:30pm CT / 10:30pm ET / 11.28 @ 12:30pm KST)<br><br>🔗<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage-los-angeles</a>"	""	""
"[💸/TICKETS] PTD On Stage ONLINE Concert"	"30.09.2021 20:00 PDT"	"25.05.2020"	"Livestream Tickets for the PTD On Stage ONLINE concert will go on sale today!<br>This is for the online concert that will be held on October 24, 2021 KST.<br><br><b>🗓Sale Date: October 1, 2021<br>⏰Sale Time: 12pm KST</b><br>(9.30 @ 5pm HT / 8pm PT / 9pm MT / 10pm CT / 11pm ET)<br><br>🔗<b>More Info:</b>&nbsp\;<a href="/" id="ow638" __is_owner="true">https://www.usbtsarmy.com/latest-updates/permission-to-dance-on-stage</a>"	""	""
"[🎤/Day 2 Delayed Streaming] BTS 2021 Muster, SOWOOZOO - World Tour Version"	"19.06.2021 18:00 PDT"	"24.05.2020"	"A replay event of the SOWOOZOO Day 2 Livestream<br><p><strong>June 20, 2021 @ 10am KST</strong><br>(6.19 @ 3pm HT / 6pm PT / 7pm MT / 8pmCT / 9pm ET)<br></p>ℹ️<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/sowoozoo-muster/#delayed-streaming">https://www.usbtsarmy.com/latest-updates/sowoozoo-muster/#delayed-streaming</a>"	""	""
"[🎤/Day 1 Delayed Streaming] BTS 2021 Muster, SOWOOZOO"	"18.06.2021 18:00 PDT"	"18.05.2020"	"A replay event of the SOWOOZOO Day 1 Livestream<br><br><strong>June 19, 2021 @ 10am KST</strong><br>(6.18 @ 3pm HT / 6pm PT / 7pm MT / 8pm CT / 9pm ET)<br><br>ℹ️<b>More Info</b>: <a href="https://www.usbtsarmy.com/latest-updates/sowoozoo-muster/#delayed-streaming">https://www.usbtsarmy.com/latest-updates/sowoozoo-muster/#delayed-streaming</a>"	""	""
"[🎤/DAY 2] BTS 2021 MUSTER, SOWOOZOO"	"14.06.2021 02:30 PDT"	"15.05.2020"	"BTS will be holding their 2021 MUSTER, 소우주 SOWOOZOO on Sunday, June 13, 2021 and Monday, June 14, 2021.<br><br><b>DAY 2<br></b>Includes some of the artist's foreign language songs<br><b>🗓Monday, June 14, 2021 - WORLD TOUR VERSION<br>⏰6:30pm KST<br></b>(6.13 @ 11:30pm HT / 6.14 @ 2:30am PT / 3:30am MT / 4:30am CT / 5:30am ET)<br><br>ℹ️<b>More Info:&nbsp\;</b><a href="https://www.usbtsarmy.com/latest-updates/sowoozoo-muster">https://www.usbtsarmy.com/latest-updates/sowoozoo-muster<br></a>"	""	""
"[🎤/DAY 1] BTS 2021 MUSTER, SOWOOZOO"	"13.06.2021 02:30 PDT"	"11.05.2020"	"BTS will be holding their 2021 MUSTER, 소우주 SOWOOZOO on Sunday, June 13, 2021 and Monday, June 14, 2021.<br><br><b>DAY 1<br>🗓Sunday,June 13, 2021<br>⏰6:30pm KST<br></b>(6.12 @ 11:30pm HT / 6.13 @ 2:30am PT/ 3:30am MT / 4:30am CT / 5:30am ET)<br><br>ℹ️<b>More Info:&nbsp\;</b><a href="https://www.usbtsarmy.com/latest-updates/sowoozoo-muster">https://www.usbtsarmy.com/latest-updates/sowoozoo-muster<br></a>"	""	""
